Satisfaction Score,Churn Value,Churn Score,CLTV,Employee Related Cancellation,Product/Service Related Cancellation,Competitor Cancellation,Price Cancellation,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Age,Number of Dependents,City,Zip Code,Churn Category_Competitor,Churn Category_Did Not Churn,Churn Category_Dissatisfaction,Churn Category_Other,Churn Category_Price,Churn Reason_Attitude of support person,Churn Reason_Competitor had better devices,Churn Reason_Competitor made better offer,Churn Reason_Competitor offered higher download speeds,Churn Reason_Competitor offered more data,Churn Reason_Deceased,Churn Reason_Did Not Churn,Churn Reason_Don't know,Churn Reason_Extra data charges,Churn Reason_Lack of affordable download/upload speed,Churn Reason_Lack of self-service on Website,Churn Reason_Limited range of services,Churn Reason_Long distance charges,Churn Reason_Moved,Churn Reason_Network reliability,Churn Reason_Poor expertise of online support,Churn Reason_Poor expertise of phone support,Churn Reason_Price too high,Churn Reason_Product dissatisfaction,Churn Reason_Service dissatisfaction,Referred a Friend_Yes,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Offer_Unknown/None,Phone Service_Yes,Multiple Lines_Yes,Internet Service_Yes,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Online Security_Yes,Online Backup_Yes,Device Protection Plan_Yes,Premium Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Streaming Music_Yes,Unlimited Data_Yes,Contract_One Year,Contract_Two Year,Paperless Billing_Yes,Payment Method_Credit Card,Payment Method_Mailed Check,Gender_Male,Under 30_Yes,Senior Citizen_Yes,Married_Yes,Dependents_Yes
2,1,69,5543,0,0,0,1,0,55,8.93,21,98.8,5617.75,0.0,0,491.15,6108.9,73,0,10,91354,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0
1,1,94,5365,1,1,0,0,1,32,2.08,25,80.3,2483.05,0.0,0,66.56,2549.61,71,0,10,91360,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0
2,1,79,5011,1,0,0,0,0,66,45.59,24,80.45,5224.35,0.0,140,3008.94,8373.29,72,0,10,91362,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
2,1,72,5834,0,1,0,0,1,6,40.44,25,84.2,519.15,0.0,0,242.64,761.79,76,0,10,91423,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0
3,1,74,2754,0,0,0,0,0,4,12.86,4,88.85,372.45,0.0,0,51.44,423.89,69,0,20,91737,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
3,1,74,3542,1,0,0,0,0,3,0.0,30,25.3,77.75,0.0,0,0.0,77.75,80,0,10,91740,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3,1,68,5546,1,0,0,0,0,8,43.98,27,101.35,780.5,0.0,0,351.84,1132.34,78,0,9,91776,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
2,1,71,2715,1,0,0,0,1,3,41.3,2,105.9,334.65,0.0,0,123.9,458.55,71,0,9,91801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0
1,1,91,2505,0,0,1,0,1,43,17.43,26,103.0,4414.3,0.0,0,749.49,5163.79,73,0,4,91948,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0
2,1,91,3363,1,0,0,0,0,13,4.45,25,82.0,1127.2,0.0,0,57.85,1185.05,79,0,8,92078,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
1,1,77,4853,1,0,0,0,1,27,45.82,13,101.25,2754.45,0.0,0,1237.14,3991.59,72,0,285,92104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0
1,1,90,4849,0,0,1,0,0,25,18.46,3,89.5,2196.15,0.0,0,461.5,2657.65,69,0,285,92109,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
1,1,81,2407,0,0,1,0,0,22,5.09,23,74.4,1692.6,0.0,0,111.98,1804.58,79,0,285,92110,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,1,68,5857,1,0,0,0,1,18,25.27,15,99.75,1836.25,0.0,0,454.86,2291.11,68,0,285,92114,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0
3,1,91,4060,1,0,0,0,0,56,19.46,28,111.95,6418.9,0.0,0,1089.76,7508.66,77,0,285,92115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0
1,1,92,5692,0,0,1,0,0,16,0.0,24,39.0,679.85,0.0,0,0.0,679.85,68,0,285,92123,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0
3,1,87,5813,0,0,1,0,1,50,37.12,4,88.05,4367.35,0.0,100,1856.0,6323.35,79,0,3,92210,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
1,1,83,3553,0,0,1,0,0,3,23.82,30,75.05,256.25,0.0,0,71.46000000000001,327.71000000000004,68,0,5,92243,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
2,1,94,2394,0,0,0,0,1,1,31.27,11,74.45,74.45,0.0,10,31.27,115.72,73,0,43,92028,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
1,1,90,5571,0,0,1,0,0,1,8.35,23,75.75,75.75,0.0,0,8.35,84.1,79,0,51,92027,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
2,1,77,5839,0,0,1,0,0,4,10.61,8,74.4,306.6,0.0,20,42.44,369.04,75,0,43,92028,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
4,0,38,5309,0,0,0,0,3,71,47.02,12,96.35,6766.95,0.0,0,3338.42,10105.37,69,0,293,90033,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0
5,0,69,4449,0,0,0,0,10,2,33.1,11,95.5,181.65,0.0,10,66.2,257.85,79,0,293,90034,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0
3,0,40,3144,0,0,0,0,0,1,11.89,12,45.25,45.25,0.0,0,11.89,57.14,71,0,293,90037,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
4,0,52,2223,0,0,0,0,0,43,12.58,26,90.25,3838.75,0.0,0,540.94,4379.6900000000005,65,0,293,90059,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
4,0,25,3154,0,0,0,0,9,25,30.6,2,69.5,1752.65,0.0,0,765.0,2517.65,65,0,293,90062,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0
3,0,59,5153,0,0,0,0,9,60,48.9,16,74.85,4456.35,0.0,0,2934.0,7390.35,72,0,293,90064,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0
5,0,74,4582,0,0,0,0,3,66,21.79,9,108.45,7076.35,0.0,0,1438.14,8514.49,77,0,293,90067,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0
4,0,69,4881,0,0,0,0,9,64,16.33,10,111.6,7099.0,0.0,0,1045.12,8144.12,71,0,15,90241,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0
4,0,21,4463,0,0,0,0,0,56,47.13,29,110.5,6139.5,0.0,0,2639.28,8778.78,73,0,15,90247,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
4,0,55,3033,0,0,0,0,0,30,38.61,5,74.75,2111.3,0.0,0,1158.3,3269.6000000000004,80,0,5,90250,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0
5,0,60,4182,0,0,0,0,0,1,27.65,2,74.7,74.7,0.0,0,27.65,102.35,79,0,10,90278,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
5,0,28,6238,0,0,0,0,0,66,0.0,9,45.55,3027.25,0.0,0,0.0,3027.25,65,0,25,90402,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0
3,0,68,5372,0,0,0,0,0,71,0.0,20,56.45,3985.35,0.0,0,0.0,3985.35,73,0,5,90701,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0
3,0,8,6102,0,0,0,0,1,72,20.48,6,88.05,6425.65,0.0,0,1474.56,7900.209999999999,71,0,5,90723,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0
3,0,52,4329,0,0,0,0,7,71,30.72,0,23.95,1756.2,0.0,0,2181.12,3937.32,66,0,5,90742,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
3,0,38,5788,0,0,0,0,1,23,42.59,2,86.8,1975.85,0.0,0,979.57,2955.42,66,0,10,91360,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0
4,0,7,5348,0,0,0,0,2,65,38.32,25,94.4,6126.15,0.0,0,2490.8,8616.95,77,0,5,91706,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0
4,0,7,5557,0,0,0,0,0,13,10.51,20,54.8,731.3,0.0,0,136.63,867.93,68,0,5,91709,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3,0,40,4033,0,0,0,0,0,4,36.4,29,75.35,273.4,0.0,0,145.6,419.0,66,0,5,91710,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
3,0,50,3094,0,0,0,0,5,29,0.0,23,45.0,1228.65,0.0,0,0.0,1228.65,69,0,5,91745,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0
5,0,36,4429,0,0,0,0,1,57,36.66,9,89.85,4925.35,0.0,0,2089.62,7014.97,79,0,5,91750,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0
3,0,59,3524,0,0,0,0,0,19,7.95,12,105.0,2007.25,0.0,20,151.05,2178.3,67,0,15,91761,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0
3,0,65,5328,0,0,0,0,3,20,27.56,3,107.05,2172.05,0.0,0,551.1999999999999,2723.25,68,0,15,91767,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0
4,0,23,4604,0,0,0,0,5,21,42.95,30,64.95,1339.8,0.0,0,901.95,2241.75,79,0,9,91775,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0
3,0,75,2578,0,0,0,0,0,6,8.06,19,89.35,567.8,0.0,0,48.36,616.16,77,0,22,91911,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0
5,0,38,3318,0,0,0,0,4,35,2.12,3,100.8,3437.5,0.0,0,74.2,3511.7,73,0,5,91916,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0
5,0,78,4036,0,0,0,0,9,38,28.3,27,101.15,3741.85,0.0,0,1075.4,4817.25,71,1,5,91962,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1
4,0,41,5437,0,0,0,0,0,5,9.56,13,69.35,341.6,0.0,0,47.8,389.4,67,0,4,92003,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
4,0,21,4413,0,0,0,0,9,11,29.15,2,82.9,880.05,0.0,0,320.65,1200.6999999999998,68,0,43,92028,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0
5,0,34,5444,0,0,0,0,3,28,0.0,58,35.9,973.65,0.0,40,0.0,1013.65,75,3,4,92036,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1
4,0,26,3754,0,0,0,0,0,17,1.06,25,82.65,1470.05,0.0,0,18.02,1488.07,79,0,4,92037,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0
5,0,56,4045,0,0,0,0,0,32,19.92,14,54.65,1830.1,0.0,10,637.44,2477.54,69,0,9,92067,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4,0,50,4432,0,0,0,0,0,1,7.77,22,72.1,72.1,0.0,0,7.77,79.86999999999999,72,0,8,92078,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3,0,68,4053,0,0,0,0,9,64,3.76,11,97.0,6430.9,0.0,0,240.64,6671.54,69,0,5,92086,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0
5,0,25,2415,0,0,0,0,0,7,16.36,28,89.15,574.35,0.0,0,114.52,688.87,72,0,285,92102,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0
3,0,38,2276,0,0,0,0,0,16,9.72,29,54.1,889.0,0.0,0,155.52,1044.52,70,0,285,92106,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3,0,68,4886,0,0,0,0,1,72,0.0,24,64.8,4732.35,0.0,0,0.0,4732.35,78,0,5,92173,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0
3,0,75,5352,0,0,0,0,5,27,33.57,21,84.8,2309.55,0.0,0,906.39,3215.94,77,0,5,92230,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0
3,0,44,3805,0,0,0,0,0,2,23.91,22,44.3,89.3,0.0,0,47.82,137.12,73,0,5,92231,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
4,0,34,2677,0,0,0,0,10,42,42.29,10,95.05,3944.5,0.0,100,1776.18,5820.68,76,0,5,92234,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0
3,0,59,5655,0,0,0,0,7,33,25.15,20,109.9,3694.7,0.0,0,829.9499999999999,4524.65,78,0,5,92239,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0
4,0,30,5322,0,0,0,0,0,33,0.0,11,54.6,1803.7,0.0,0,0.0,1803.7,74,0,9,92241,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0
5,0,62,2844,0,0,0,0,9,32,31.86,23,93.95,2861.45,0.0,0,1019.52,3880.97,71,1,5,92256,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1
3,0,71,5523,0,0,0,0,10,48,12.6,21,70.65,3545.05,0.0,0,604.8,4149.85,72,0,5,92266,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
3,0,24,4763,0,0,0,0,5,55,29.53,29,51.65,2838.55,0.0,0,1624.15,4462.700000000001,75,0,4,92281,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
4,0,47,4621,0,0,0,0,4,52,29.15,9,105.1,5376.4,0.0,0,1515.8,6892.2,79,0,5,92282,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0
3,0,22,5348,0,0,0,0,0,49,24.84,14,101.55,5070.4,0.0,0,1217.16,6287.56,76,0,3,92316,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0
3,0,32,3509,0,0,0,0,0,22,49.98,28,69.75,1545.4,0.0,0,1099.56,2644.96,78,0,12,92336,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0
3,0,64,4404,0,0,0,0,5,72,21.37,13,116.05,8404.9,0.0,120,1538.64,10063.54,75,0,4,92359,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0
4,0,28,6270,0,0,0,0,2,64,20.19,8,102.1,6538.45,0.0,0,1292.16,7830.61,66,0,4,92364,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0
4,0,40,4086,0,0,0,0,0,17,24.15,0,20.65,330.6,0.0,0,410.55,741.15,71,0,4,92372,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
5,0,38,5479,0,0,0,0,6,35,14.19,17,76.05,2747.2,0.0,0,496.65,3243.85,77,1,4,92384,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1
5,0,27,2416,0,0,0,0,0,20,23.18,21,81.45,1671.6,0.0,0,463.6,2135.2,74,0,4,92398,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0
4,0,29,4001,0,0,0,0,9,61,34.24,20,64.05,3902.6,0.0,0,2088.6400000000003,5991.24,73,0,32,92504,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0
3,0,54,4583,0,0,0,0,4,71,43.99,17,80.7,5676.0,0.0,0,3123.29,8799.29,73,0,8,92532,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0
3,0,32,2574,0,0,0,0,1,20,32.54,5,94.3,1818.3,0.0,0,650.8,2469.1,78,0,16,92553,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0
